Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
Australia,Potatoes,1999,321265,534.0,34200.0,12.1
Japan,Yams,2011,220905,1668.0,51796.3,15.38
Australia,Sorghum,2012,33960,534.0,48687.88,19.55
Canada,Wheat,2001,19452,537.0,38456.0,6.46
Pakistan,"Rice, paddy",2005,31742,494.0,7914.31,22.8
Thailand,Soybeans,2012,12897,1622.0,69921.0,28.48
Azerbaijan,Maize,1997,24340,447.0,148.68,11.89
India,Sorghum,1996,9591,1083.0,56114.0,25.75
Mexico,Sweet potatoes,1998,187500,758.0,34468.93,17.07
India,Potatoes,2011,227240,1083.0,55540.0,26.41
Brazil,"Rice, paddy",1995,25668,1761.0,92967.22,26.05
Mauritius,Maize,1999,49024,2041.0,501.85,24.11
India,"Rice, paddy",2008,32509,1083.0,14485.33,24.51
Brazil,Sweet potatoes,1996,86415,1761.0,101621.67,18.63
Australia,Soybeans,2000,18714,534.0,33475.0,19.89
Ecuador,Plantains and others,1990,118358,2274.0,2537.0,22.12
India,Sorghum,2004,7161,1083.0,35113.0,27.29
Australia,Sorghum,1999,32215,534.0,34200.0,19.28
Argentina,Wheat,1993,23272,591.0,26156.0,17.32
Indonesia,Potatoes,2000,133759,2702.0,1597.0,27.44
Italy,Soybeans,2010,34639,832.0,71613.0,7.05
Canada,Soybeans,1990,26096,537.0,29568.0,5.57
Colombia,Sorghum,2011,38975,3240.0,53797.0,27.18
Kenya,Cassava,2004,111000,630.0,1578.0,16.92
Pakistan,Sweet potatoes,2008,111477,494.0,4946.79,27.23
Albania,Potatoes,2006,170745,1485.0,943.61,15.92
Mexico,Potatoes,2010,277578,758.0,63402.29,21.99
Tajikistan,Soybeans,2006,500,691.0,241.9,8.97
India,Maize,2009,20238,1083.0,28707.01,27.82
Australia,Potatoes,1996,312853,534.0,31185.0,16.12
Nicaragua,Maize,2012,13493,2280.0,4413.82,26.91
India,Potatoes,1999,175712,1083.0,46195.0,25.5
India,Potatoes,2007,164101,1083.0,27422.77,25.59
India,Sorghum,1990,8136,1083.0,75000.0,25.25
Argentina,Sorghum,2009,38752,591.0,61586.56,18.16
Brazil,Sorghum,2008,24105,1761.0,312637.0,25.54
Ireland,Potatoes,1991,278537,1118.0,2014.0,9.07
India,Wheat,1991,22814,1083.0,72133.0,25.74
India,Sweet potatoes,2008,88943,1083.0,14485.33,25.57
Italy,Sweet potatoes,1993,242578,832.0,89282.2,7.43
Libya,Potatoes,1993,85822,56.0,87.0,19.51
India,Wheat,2004,27132,1083.0,35113.0,25.69
India,"Rice, paddy",2000,28508,1083.0,44957.52,27.03
Jamaica,Yams,2011,161745,2051.0,909.71,27.17
India,Sorghum,2012,9568,1083.0,52980.0,26.94
South Africa,Potatoes,1991,200188,495.0,16582.0,15.56
Sri Lanka,Sorghum,2010,12500,1712.0,1450.54,26.83
Iraq,Soybeans,2011,8504,216.0,1795.94,23.44
Jamaica,Maize,1994,13594,2051.0,1415.65,27.48
Colombia,Potatoes,2006,159033,3240.0,98328.63,22.6
Uruguay,Wheat,1996,25957,1300.0,3444.01,17.03
Guinea,Plantains and others,2004,52165,1651.0,327.49,27.56
Australia,Maize,1994,46620,534.0,21057.0,19.59
Madagascar,Soybeans,2002,6040,1513.0,240.84,20.14
India,Cassava,2004,270436,1083.0,35113.0,25.32
Pakistan,Sorghum,2004,6062,494.0,8903.48,23.78
South Africa,"Rice, paddy",2012,27273,495.0,26857.0,21.24
Colombia,Yams,2001,117102,3240.0,85515.3,27.28
Brazil,Wheat,2012,23100,1761.0,346583.0,18.8
Egypt,Maize,1995,61630,51.0,4391.0,20.62
Qatar,Maize,2006,118571,74.0,68.0,28.12
Croatia,Potatoes,2006,163810,1113.0,2150.0,10.56
Thailand,Soybeans,2011,10841,1622.0,87191.0,27.56
Pakistan,Maize,2001,17631,494.0,11871.0,23.62
Peru,Maize,2002,26708,1738.0,8322.88,17.44
Eritrea,Sorghum,2008,2727,383.0,27.63,24.79
India,Sorghum,1993,8981,1083.0,66388.0,24.34
Sweden,Wheat,2006,54627,624.0,2220.0,8.3
Dominican Republic,Yams,2008,69428,1410.0,5409.43,26.76
Egypt,"Rice, paddy",2005,99874,51.0,5471.0,22.01
Brazil,Sweet potatoes,2002,113463,1761.0,145552.0,21.3
Canada,Soybeans,1991,24415,537.0,29477.5,8.13
India,Maize,1995,15946,1083.0,61257.0,26.13
Mexico,Sweet potatoes,2000,188160,758.0,34468.93,21.12
Guyana,Sweet potatoes,2000,20224,2387.0,289.9,27.05
India,Soybeans,2000,8222,1083.0,44957.52,26.18
Italy,Sorghum,1997,57487,832.0,84799.0,13.13
Australia,Sweet potatoes,1990,137140,534.0,17866.0,14.16
Turkey,Wheat,1990,21227,593.0,29918.0,17.94
Morocco,Wheat,1991,18699,346.0,9771.14,17.25
Papua New Guinea,Potatoes,1993,47059,3142.0,172.0,25.02
Turkey,Potatoes,2000,263762,593.0,33471.0,12.03
Chile,Potatoes,2004,192104,1522.0,9830.72,13.44
Pakistan,Wheat,2011,28328,494.0,1979.27,24.98
Indonesia,Maize,2013,48441,2702.0,1597.0,25.48
Ecuador,Plantains and others,1993,93053,2274.0,1844.0,22.15
Brazil,"Rice, paddy",2009,44049,1761.0,335742.0,26.3
Portugal,Maize,1992,34547,854.0,6117.0,15.95
Uganda,Potatoes,1991,71885,1180.0,72.0,23.3
Pakistan,Sorghum,2005,5998,494.0,7914.31,18.75
Brazil,Potatoes,1999,164604,1761.0,127585.0,17.66
South Africa,Maize,1992,7853,495.0,16582.0,16.48
India,Cassava,1991,218925,1083.0,72133.0,25.99
Kenya,Cassava,2008,137358,630.0,1578.0,16.66
India,Cassava,1995,252775,1083.0,61257.0,25.92
Mexico,Sweet potatoes,1997,209597,758.0,34468.93,16.25
Bangladesh,Wheat,2008,21753,2666.0,12936.5,26.0
Slovenia,Maize,2008,73207,1162.0,1218.15,11.09
Pakistan,Soybeans,1997,12942,494.0,16936.0,23.76
Indonesia,Soybeans,2000,12335,2702.0,1597.0,27.1
Canada,Potatoes,2004,123630,537.0,36138.0,7.02
Haiti,Maize,1993,8077,1440.0,6.96,26.78
Japan,"Rice, paddy",1991,58590,1668.0,79821.18,15.38
Zambia,Potatoes,1997,90000,1020.0,1670.0,20.9
Honduras,Cassava,1994,67304,1976.0,3160.91,24.87
Australia,Potatoes,2007,355463,534.0,32446.25,12.83
Pakistan,Sweet potatoes,2004,113473,494.0,8903.48,23.78
India,"Rice, paddy",1990,26125,1083.0,75000.0,25.16
India,Soybeans,2000,8222,1083.0,44957.52,25.34
Indonesia,Sweet potatoes,1998,95750,2702.0,1597.0,27.58
Mauritius,Sweet potatoes,2002,112727,2041.0,606.85,24.4
Pakistan,Wheat,2009,26568,494.0,3957.61,27.88
Egypt,Sweet potatoes,1997,224888,51.0,4607.0,20.52
Brazil,Soybeans,2013,29285,1761.0,367778.0,27.71
Argentina,"Rice, paddy",2002,57197,591.0,64134.56,18.07
Slovenia,Maize,2006,69305,1162.0,1280.98,10.56
Kazakhstan,Potatoes,2005,150135,250.0,3666.62,7.07
India,Sweet potatoes,2001,88368,1083.0,43720.04,25.34
India,Sorghum,1994,7786,1083.0,61357.0,26.46
Mexico,Sorghum,2007,34947,758.0,64501.28,19.7
Indonesia,"Rice, paddy",2008,48948,2702.0,1597.0,26.97
Lesotho,Wheat,1993,7330,788.0,0.3,14.95
India,Potatoes,2001,183627,1083.0,43720.04,25.92
Turkey,Sorghum,2013,26544,593.0,39440.0,19.21
Bangladesh,Wheat,1997,20544,2666.0,2035.0,25.55
Austria,Potatoes,2006,298641,1110.0,3415.7,9.13
Portugal,"Rice, paddy",2004,58527,854.0,16942.0,16.31
South Africa,"Rice, paddy",2001,22857,495.0,26857.0,15.68
India,Wheat,2000,27785,1083.0,44957.52,26.43
Ecuador,Wheat,2005,7220,2274.0,18391.23,17.67
Colombia,Yams,1993,127935,3240.0,14961.81,22.29
Morocco,Sorghum,1997,5338,346.0,12214.0,18.65
Poland,Potatoes,2008,190607,600.0,20611.02,9.51
India,Maize,1993,16015,1083.0,66388.0,25.5
India,Cassava,2011,364770,1083.0,55540.0,25.92
Haiti,Plantains and others,2010,66250,1440.0,27.85,27.19
India,Cassava,2002,272746,1083.0,42482.56,27.03
India,Soybeans,2000,8222,1083.0,44957.52,25.93
Pakistan,Sweet potatoes,2000,109771,494.0,27885.0,19.68
India,Maize,2002,16807,1083.0,42482.56,26.63
Central African Republic,Potatoes,2000,25641,1342.0,22.87,25.4
Australia,Potatoes,1990,289832,534.0,17866.0,14.16
India,"Rice, paddy",1997,28457,1083.0,52279.0,27.47
Brazil,"Rice, paddy",1991,23020,1761.0,58349.44,17.95
Colombia,Yams,2005,117678,3240.0,117881.45,22.69
Colombia,Plantains and others,2000,72291,3240.0,75843.0,26.98
Belarus,Potatoes,1997,99173,618.0,8306.31,5.98
Guatemala,Maize,1997,14942,1996.0,11419.53,20.16
Brazil,Sorghum,2009,23378,1761.0,335742.0,20.78
Malawi,Plantains and others,2011,98694,1181.0,553.57,20.92
Canada,Potatoes,1996,112323,537.0,35240.8,6.88
Egypt,Sorghum,1991,49724,51.0,8255.0,21.65
Brazil,Sorghum,2000,15013,1761.0,140423.0,21.69
India,Maize,1995,15946,1083.0,61257.0,25.73
India,Potatoes,2000,186443,1083.0,44957.52,26.49
Brazil,Yams,2010,95332,1761.0,342580.0,20.72
Norway,Wheat,1990,46634,1414.0,1183.0,4.55
Brazil,Soybeans,1992,20352,1761.0,67003.89,20.21
Madagascar,Sorghum,1993,6945,1513.0,109.41,19.95
Uganda,Sorghum,2006,14286,1180.0,88.0,23.95
Albania,Potatoes,2007,188902,1485.0,1006.57,16.67
United Kingdom,Wheat,1991,72519,1220.0,29022.0,9.11
India,Maize,1992,16758,1083.0,70791.0,23.79
Spain,Soybeans,2000,21870,636.0,34597.0,17.15
Germany,Potatoes,1993,392539,700.0,25170.0,5.33
India,Sorghum,1997,6920,1083.0,52279.0,25.21
Australia,"Rice, paddy",2002,82580,534.0,26651.0,20.38
Pakistan,Soybeans,1994,8011,494.0,6183.0,26.87
Brazil,Potatoes,2010,258859,1761.0,342580.0,26.3
Germany,Soybeans,2002,15337,700.0,34431.72,6.26
India,Soybeans,2001,9400,1083.0,43720.04,26.9
India,Sweet potatoes,2004,88588,1083.0,35113.0,26.24
Egypt,Potatoes,2011,264311,51.0,12945.0,21.18
India,Sorghum,1990,8136,1083.0,75000.0,24.78
Pakistan,Sorghum,2008,6262,494.0,4946.79,27.23
Japan,Maize,1999,24000,1668.0,79821.18,15.66
Pakistan,Soybeans,2002,12647,494.0,10881.83,27.88
Senegal,"Rice, paddy",1997,23254,686.0,437.23,25.87
Libya,Potatoes,2005,157629,56.0,8314.0,20.28
South Africa,Potatoes,1995,257634,495.0,18025.0,20.73
Switzerland,Wheat,2007,59803,1537.0,2099.3,8.43
Iraq,Wheat,1996,8667,216.0,616.0,23.96
Malaysia,Sweet potatoes,2006,142868,2875.0,39406.48,27.29
Spain,Maize,1992,70170,636.0,31839.0,16.35
Nicaragua,Yams,1992,132748,2280.0,575.0,27.16
Papua New Guinea,Maize,1999,54167,3142.0,105.0,25.38
Austria,Wheat,2001,52412,1110.0,3132.2,8.75
Pakistan,Sorghum,1991,5866,494.0,5962.0,26.34
Indonesia,Potatoes,1991,132721,2702.0,3259.0,25.27
India,Potatoes,1995,162720,1083.0,61257.0,26.15
Egypt,Sweet potatoes,1996,231357,51.0,4499.0,21.88
Brazil,Soybeans,1999,23724,1761.0,127585.0,24.01
Mauritius,Sweet potatoes,2012,152500,2041.0,636.91,24.37
Brazil,Wheat,1991,14232,1761.0,58349.44,19.11
Mauritius,Maize,2008,75410,2041.0,781.32,24.19
Niger,"Rice, paddy",1993,26233,151.0,62.0,29.64
Romania,Potatoes,2007,136211,637.0,6314.0,12.99
Burkina Faso,Maize,2007,11736,748.0,292.05,28.96
Jamaica,Potatoes,2000,141042,2051.0,909.71,26.96
Ecuador,Wheat,2002,5696,2274.0,1302.49,22.23
Senegal,Sorghum,2013,8458,686.0,722.53,24.7
Brazil,Sweet potatoes,1990,101661,1761.0,49695.0,20.29
Chile,Sweet potatoes,1994,61664,1522.0,15373.0,6.7
Romania,"Rice, paddy",1991,14560,637.0,19898.0,10.55
Mexico,Maize,2005,29276,758.0,51741.99,21.42
Turkey,Wheat,2002,21006,593.0,27915.0,19.54
Libya,Wheat,2001,7974,56.0,4284.5,21.1
India,Potatoes,2009,188103,1083.0,28707.01,27.14
Brazil,"Rice, paddy",2000,30382,1761.0,140423.0,18.65
Thailand,Cassava,2010,185730,1622.0,68986.0,28.54
Haiti,Potatoes,2006,130461,1440.0,27.85,27.41
Colombia,Sorghum,2002,35000,3240.0,84023.26,27.77
India,Cassava,2005,304978,1083.0,35342.0,26.72
Brazil,Soybeans,2010,29475,1761.0,342580.0,24.95
Kenya,Soybeans,1992,8059,630.0,3469.0,16.34
Lesotho,Potatoes,2007,166071,788.0,35.27,14.81
Germany,Wheat,1990,62734,700.0,31289.0,10.71
Argentina,Wheat,2011,35063,591.0,100424.62,17.58
Argentina,Soybeans,2012,22814,591.0,136185.08,18.43
South Africa,"Rice, paddy",2011,26151,495.0,26857.0,15.49
Japan,"Rice, paddy",1992,62754,1668.0,79821.18,15.26
Brazil,Cassava,1999,132795,1761.0,127585.0,20.04
Italy,Potatoes,2004,251485,832.0,83810.0,12.75
Brazil,"Rice, paddy",2010,41271,1761.0,342580.0,27.56
Portugal,Yams,1995,108140,854.0,11815.0,17.23
Australia,Soybeans,1992,21141,534.0,22234.0,16.89
Australia,Wheat,2004,19998,534.0,36276.0,18.87
Brazil,Cassava,2009,138613,1761.0,335742.0,27.39
Burkina Faso,Sweet potatoes,2002,61708,748.0,39.47,28.97
Indonesia,Maize,2012,48987,2702.0,1597.0,27.37
Japan,Potatoes,1993,304856,1668.0,79821.18,14.68
Ecuador,Soybeans,1994,21520,2274.0,2670.0,21.8
Ukraine,Wheat,1993,37980,565.0,61843.46,6.89
Argentina,Soybeans,2002,26304,591.0,64134.56,18.07
Kenya,Plantains and others,2002,121739,630.0,1578.0,16.61
Mozambique,Potatoes,1993,126210,1032.0,102.26,22.04
India,Sweet potatoes,2004,88588,1083.0,35113.0,27.63
Ukraine,"Rice, paddy",2010,50512,565.0,62534.6,8.97
Mexico,Cassava,2000,113284,758.0,34468.93,21.12
Brazil,"Rice, paddy",2001,32405,1761.0,151523.0,26.08
Mali,Potatoes,1991,175000,282.0,54.63,27.58
Sri Lanka,Sorghum,1996,9510,1712.0,1654.41,26.38
Kenya,Plantains and others,1990,125000,630.0,3469.0,15.94
Iraq,Sorghum,1991,4348,216.0,692.0,23.21
Brazil,Yams,2007,92593,1761.0,304031.0,25.95
Italy,Sweet potatoes,1991,214905,832.0,88916.6,7.28
Tajikistan,Potatoes,2009,231535,691.0,258.1,8.42
Thailand,Soybeans,1991,13686,1622.0,18849.0,27.85
Guinea,Sorghum,1995,13174,1651.0,153.0,27.23
Australia,Sweet potatoes,2000,317647,534.0,33475.0,17.08
Chile,"Rice, paddy",2013,62051,1522.0,9830.72,13.07
Turkey,Soybeans,2005,33721,593.0,40332.0,11.24
Brazil,Cassava,2001,135418,1761.0,151523.0,18.67
Burkina Faso,Potatoes,2004,18849,748.0,1.28,28.9
Lesotho,Sorghum,1997,8056,788.0,0.3,14.28
India,Cassava,2013,349594,1083.0,45620.0,26.99
El Salvador,Cassava,1998,131429,1784.0,3009.39,26.48
India,Soybeans,1996,10319,1083.0,56114.0,27.01
Indonesia,Potatoes,2006,169363,2702.0,1597.0,27.55
Canada,Potatoes,2004,123630,537.0,36138.0,6.4
Indonesia,Sweet potatoes,1997,94532,2702.0,1597.0,25.52
India,Sorghum,1996,9591,1083.0,56114.0,27.01
Mauritius,Cassava,2001,143077,2041.0,603.16,24.49
Iraq,Wheat,1994,7431,216.0,692.0,23.47
Mexico,"Rice, paddy",2005,50653,758.0,51741.99,20.09
Brazil,"Rice, paddy",1996,26578,1761.0,101621.67,17.83
Morocco,"Rice, paddy",2010,68270,346.0,13697.0,18.83
Guatemala,Potatoes,2000,224631,1996.0,9665.14,19.47
India,Maize,1997,17111,1083.0,52279.0,26.38
Morocco,"Rice, paddy",2013,75433,346.0,13697.0,18.62
Iraq,"Rice, paddy",2004,28409,216.0,828.62,23.72
Canada,Maize,2001,66187,537.0,38456.0,7.76
Australia,Soybeans,1990,15718,534.0,17866.0,17.47
Japan,Soybeans,2004,11930,1668.0,64688.88,14.05
Brazil,Soybeans,2004,23005,1761.0,214725.0,17.88
Mexico,Cassava,2000,113284,758.0,34468.93,16.11
India,Wheat,1991,22814,1083.0,72133.0,26.7
Mexico,Sweet potatoes,1996,185891,758.0,34468.93,16.08
India,Maize,2011,24784,1083.0,55540.0,25.64
Nepal,Soybeans,2009,9139,1500.0,209.52,15.91
Italy,Sweet potatoes,1994,237708,832.0,81217.6,8.39
Central African Republic,Sorghum,2012,11707,1342.0,22.87,25.28
Papua New Guinea,Sweet potatoes,2000,47059,3142.0,105.0,25.4
Australia,Maize,2012,64654,534.0,48687.88,19.55
Pakistan,"Rice, paddy",1991,23199,494.0,5962.0,22.48
Colombia,Plantains and others,1991,72329,3240.0,16817.0,22.53
Brazil,Wheat,2005,19735,1761.0,232232.0,22.05
Haiti,Potatoes,1994,146259,1440.0,8.58,27.28
Rwanda,Cassava,1999,26747,1212.0,152.0,19.35
Switzerland,Potatoes,2005,387450,1537.0,1388.3,7.49
Guinea,"Rice, paddy",1997,17129,1651.0,157.0,27.3
Bangladesh,Wheat,2002,21644,2666.0,2954.29,26.1
Mexico,Soybeans,2006,14962,758.0,50891.95,25.35
Egypt,Sweet potatoes,1994,247138,51.0,4283.0,22.02
Mexico,Potatoes,1996,204570,758.0,34468.93,19.27
Mexico,"Rice, paddy",2012,56231,758.0,64512.22,16.43
Portugal,"Rice, paddy",2013,59699,854.0,10126.8,16.77
Mali,Maize,2009,33349,282.0,4.12,27.89
Thailand,Wheat,2010,8756,1622.0,68986.0,28.54
India,Sweet potatoes,2000,97421,1083.0,44957.52,26.13
Germany,Wheat,2012,73312,700.0,45522.5,9.2
El Salvador,Soybeans,1992,26857,1784.0,3940.77,26.22
Canada,Wheat,1995,22467,537.0,32223.4,8.49
India,Potatoes,1996,169913,1083.0,56114.0,25.9
Japan,Sweet potatoes,2013,244119,1668.0,52794.3,16.3
Spain,Potatoes,1998,234388,636.0,35070.0,17.15
Mexico,Maize,2005,29276,758.0,51741.99,22.95
Turkey,Potatoes,2007,276422,593.0,48715.51,19.82
El Salvador,Sorghum,1990,12423,1784.0,2524.0,26.06
Eritrea,Wheat,1998,9552,383.0,19.61,24.78
Zambia,Sweet potatoes,2013,38873,1020.0,1670.0,20.14
Pakistan,"Rice, paddy",2005,31742,494.0,7914.31,22.8
Chile,Wheat,2010,57658,1522.0,9830.72,6.13
Honduras,Cassava,1995,61251,1976.0,7800.0,24.95
Guatemala,Plantains and others,2007,167445,1996.0,22883.17,19.9
Guyana,Yams,1998,83772,2387.0,289.9,27.71
Bangladesh,Sorghum,2009,13300,2666.0,13790.09,26.54
Pakistan,Potatoes,2012,183405,494.0,990.09,24.87
Lebanon,Sorghum,1998,16828,661.0,1816.0,20.19
Malawi,Maize,2007,26547,1181.0,524.46,20.67
Mexico,Maize,2009,32368,758.0,61690.08,16.65
Slovenia,Wheat,2007,41616,1162.0,1155.23,11.31
Iraq,Maize,2005,23079,216.0,873.01,23.58
Sri Lanka,Potatoes,1998,111254,1712.0,1532.41,27.13
India,Potatoes,2000,186443,1083.0,44957.52,27.03
Morocco,Maize,1990,11598,346.0,9364.0,18.17
India,Cassava,1994,245277,1083.0,61357.0,25.95
Saudi Arabia,Potatoes,1999,250876,59.0,2853.74,26.75
Bahamas,Sweet potatoes,2002,34792,1292.0,384.23,25.79
Guatemala,"Rice, paddy",2007,28203,1996.0,22883.17,19.9
Bulgaria,Wheat,1993,28580,608.0,3777.25,9.0
Switzerland,Maize,2004,96142,1537.0,1390.7,7.67
Malawi,Sorghum,2005,2656,1181.0,295.51,21.37
Canada,Wheat,1996,24304,537.0,35240.8,6.88
India,Wheat,2009,29071,1083.0,28707.01,26.55
Brazil,Sweet potatoes,2006,116902,1761.0,238716.0,20.6
Mexico,Wheat,2011,54778,758.0,65961.1,16.64
Papua New Guinea,Sorghum,1994,24286,3142.0,176.0,25.07
Germany,Potatoes,2005,419798,700.0,36386.27,9.92
Pakistan,Soybeans,2007,5818,494.0,5935.96,27.21
Brazil,Yams,1999,92000,1761.0,127585.0,25.32
Zambia,"Rice, paddy",2008,13833,1020.0,1670.0,20.66
Mexico,Soybeans,2002,15318,758.0,16189.88,19.62
India,"Rice, paddy",2011,35878,1083.0,55540.0,25.36
Mexico,Cassava,1999,136634,758.0,34468.93,25.03
India,"Rice, paddy",1999,29782,1083.0,46195.0,26.36
India,Sorghum,2005,7968,1083.0,35342.0,24.12
Uganda,"Rice, paddy",2009,23926,1180.0,88.0,24.18
Mexico,Potatoes,2013,267752,758.0,59920.18,20.45
Senegal,Sweet potatoes,2007,253333,686.0,557.92,25.34
Ecuador,Plantains and others,2006,56123,2274.0,7953.42,17.6
Australia,Maize,2013,64441,534.0,45177.18,17.39
Colombia,Soybeans,2013,27250,3240.0,54563.38,22.85
Dominican Republic,Cassava,1993,60006,1410.0,4971.0,26.38
Croatia,Soybeans,1999,25003,1113.0,2782.75,10.51
India,Sweet potatoes,2011,92456,1083.0,55540.0,25.45
Lithuania,Potatoes,2002,154365,656.0,792.6,7.26
Morocco,Potatoes,1999,183361,346.0,13028.29,17.88
Brazil,Soybeans,2004,23005,1761.0,214725.0,25.37
El Salvador,Potatoes,1990,140000,1784.0,2524.0,26.06
South Africa,Wheat,2005,23665,495.0,26857.0,16.29
India,Sweet potatoes,2000,97421,1083.0,44957.52,25.62
Bulgaria,Potatoes,2010,181967,608.0,1588.5,9.65
Lebanon,Potatoes,2005,259594,661.0,1816.0,19.68
Australia,Sorghum,2006,25205,534.0,35900.0,12.51
Nicaragua,Plantains and others,2002,100000,2280.0,5715.36,27.0
Pakistan,Maize,1997,16352,494.0,16936.0,22.14
Nepal,"Rice, paddy",2011,29805,1500.0,342.92,15.12
Ecuador,Maize,2008,22442,2274.0,15396.14,17.16
Jamaica,Sweet potatoes,2009,170803,2051.0,909.71,27.42
Pakistan,Sweet potatoes,1991,101190,494.0,5962.0,24.38
Rwanda,Soybeans,2000,4712,1212.0,147.0,19.59
Eritrea,Sorghum,1998,11420,383.0,19.61,24.78
Canada,Soybeans,2008,27906,537.0,53707.3,8.61
Iraq,Soybeans,2005,9214,216.0,873.01,23.58
Dominican Republic,Yams,1997,51088,1410.0,3846.0,27.18
Canada,Wheat,1998,22550,537.0,41275.6,8.54
South Africa,Maize,2008,45373,495.0,26857.0,18.91
Bangladesh,Soybeans,2008,15026,2666.0,12936.5,26.0
Dominican Republic,Maize,2002,12960,1410.0,4018.07,27.05
Argentina,Maize,1990,34608,591.0,26156.0,17.46
India,Potatoes,1991,162540,1083.0,72133.0,25.82
Brazil,Potatoes,2005,220095,1761.0,232232.0,22.05
India,Potatoes,1994,166101,1083.0,61357.0,26.55
South Africa,Wheat,1994,17561,495.0,16582.0,15.1
Portugal,Sweet potatoes,2005,82279,854.0,16353.0,16.43
Eritrea,Sorghum,1999,8766,383.0,22.28,24.68
Pakistan,Wheat,1991,18410,494.0,5962.0,22.48
Canada,Soybeans,2010,29515,537.0,61050.0,8.33
Brazil,Wheat,2010,28288,1761.0,342580.0,24.95
Ukraine,Sorghum,2004,18258,565.0,15344.4,8.32
Dominican Republic,Yams,1995,53450,1410.0,3449.0,26.78
Mexico,Maize,1997,23840,758.0,34468.93,20.35
Pakistan,Wheat,1990,18249,494.0,5299.0,23.14
Portugal,Potatoes,1990,111599,854.0,9357.0,16.55
Argentina,"Rice, paddy",1991,40294,591.0,26156.0,17.64
Pakistan,"Rice, paddy",2001,27542,494.0,11871.0,23.62
Kenya,Sweet potatoes,2001,90000,630.0,1578.0,16.1
Botswana,Sorghum,1998,3364,416.0,17.0,20.05
Ecuador,Plantains and others,2013,49591,2274.0,6471.77,17.28
Japan,Yams,1990,210808,1668.0,79821.18,16.46
India,Sorghum,1991,6553,1083.0,72133.0,25.32
Ukraine,Sorghum,2000,11458,565.0,27343.71,8.82
Cameroon,Potatoes,1992,20500,1604.0,1137.56,24.6
India,"Rice, paddy",1993,28303,1083.0,66388.0,27.46
Namibia,Maize,2011,19297,285.0,56.0,19.26
Pakistan,Wheat,1997,20533,494.0,16936.0,23.76
